order_id,customer_id,product_id,quantity,price,order_date,payment_status
ORD001,CUST031,PROD047,1,412.35,2025-09-07 11:34:00,PENDING
ORD002,CUST046,PROD008,4,352.04,2026-01-10 06:07:00,FAILED
ORD003,CUST059,PROD012,2,548.62,2025-08-08 20:38:00,COMPLETED
ORD004,CUST007,PROD043,2,691.82,2025-06-06 18:13:00,COMPLETED
ORD005,CUST098,PROD071,2,1503.96,2025-10-18 06:52:00,FAILED
ORD006,CUST030,PROD043,2,691.82,2026-04-06 19:00:00,COMPLETED
ORD007,CUST019,PROD017,5,4429.2,2025-09-10 05:07:00,PENDING
ORD008,CUST004,PROD017,1,885.84,2025-06-01 07:37:00,COMPLETED
ORD009,CUST003,PROD023,3,2829.03,2025-02-09 04:47:00,COMPLETED
ORD010,CUST068,PROD015,1,41.78,2026-02-23 14:49:00,COMPLETED
ORD011,CUST066,PROD076,1,334.98,2025-12-25 16:14:00,COMPLETED
ORD012,CUST006,PROD094,5,2028.3,2025-11-11 14:41:00,COMPLETED
ORD013,CUST008,PROD062,4,571.8,2025-10-22 21:06:00,COMPLETED
ORD014,CUST092,PROD057,1,674.97,2025-10-31 02:20:00,COMPLETED
ORD015,CUST019,PROD009,2,1415.06,2025-09-13 19:40:00,COMPLETED
ORD016,CUST071,PROD092,3,102.54,2025-11-15 19:33:00,COMPLETED
ORD017,CUST059,PROD065,5,1419.55,2025-07-12 03:50:00,PENDING
ORD018,CUST015,PROD084,5,4247.7,2026-03-28 06:27:00,COMPLETED
ORD019,CUST030,PROD053,3,1797.24,2026-04-11 14:25:00,COMPLETED
ORD020,CUST094,PROD013,3,2195.52,2025-04-21 10:42:00,COMPLETED
ORD021,CUST048,PROD020,4,1994.32,2025-06-16 02:53:00,COMPLETED
ORD022,CUST012,PROD056,1,673.03,2025-05-18 23:23:00,FAILED
ORD023,CUST017,PROD072,1,34.54,2025-06-27 17:35:00,COMPLETED
ORD024,CUST086,PROD016,4,3656.0,2026-01-07 21:48:00,COMPLETED
ORD025,CUST093,PROD007,3,2427.18,2025-11-06 09:22:00,COMPLETED
ORD026,CUST074,PROD065,2,567.82,2025-02-08 21:30:00,COMPLETED
ORD027,CUST014,PROD045,5,1286.55,2025-05-07 03:48:00,COMPLETED
ORD028,CUST074,PROD029,4,3941.88,2025-05-08 17:49:00,FAILED
ORD029,CUST080,PROD079,5,586.6,2025-08-28 19:59:00,PENDING
ORD030,CUST089,PROD035,1,129.79,2025-04-02 08:44:00,FAILED
ORD031,CUST040,PROD044,3,1622.76,2025-11-03 05:55:00,COMPLETED
ORD032,CUST073,PROD085,4,1657.24,2025-06-27 04:47:00,PENDING
ORD033,CUST004,PROD012,5,1371.55,2025-05-14 12:26:00,COMPLETED
ORD034,CUST044,PROD021,3,505.14,2026-01-28 23:20:00,FAILED
ORD035,CUST073,PROD077,1,514.31,2025-10-10 01:09:00,COMPLETED
ORD036,CUST097,PROD080,1,984.39,2025-07-27 02:17:00,COMPLETED
ORD037,CUST085,PROD055,4,2643.2,2025-11-29 14:26:00,COMPLETED
ORD038,CUST028,PROD097,5,2350.0,2025-08-11 11:27:00,COMPLETED
ORD039,CUST037,PROD087,5,1539.7,2025-03-31 16:42:00,COMPLETED
ORD040,CUST006,PROD029,4,3941.88,2025-12-19 01:00:00,COMPLETED
ORD041,CUST039,PROD028,2,1205.92,2025-09-11 08:18:00,COMPLETED
ORD042,CUST016,PROD001,4,1129.12,2025-09-13 13:11:00,COMPLETED
ORD043,CUST049,PROD069,2,630.36,2026-02-22 17:53:00,PENDING
ORD044,CUST046,PROD010,4,961.84,2026-03-26 23:02:00,COMPLETED
ORD045,CUST003,PROD059,1,510.83,2025-05-24 10:36:00,COMPLETED
ORD046,CUST074,PROD052,4,2143.24,2025-02-26 03:25:00,COMPLETED
ORD047,CUST042,PROD022,5,1939.0,2025-04-20 22:58:00,COMPLETED
ORD048,CUST012,PROD056,1,673.03,2025-03-15 13:37:00,COMPLETED
ORD049,CUST068,PROD011,4,3343.08,2026-04-15 09:47:00,COMPLETED
ORD050,CUST029,PROD043,2,691.82,2025-10-21 16:40:00,COMPLETED
ORD051,CUST068,PROD066,2,1487.64,2026-04-19 11:22:00,PENDING
ORD052,CUST083,PROD019,2,1797.68,2025-07-29 04:16:00,COMPLETED
ORD053,CUST023,PROD078,2,1756.54,2025-08-29 20:04:00,COMPLETED
ORD054,CUST099,PROD081,4,215.76,2026-01-11 18:48:00,COMPLETED
ORD055,CUST058,PROD088,5,2177.95,2025-12-15 20:39:00,COMPLETED
ORD056,CUST081,PROD041,2,1324.78,2025-04-05 02:30:00,COMPLETED
ORD057,CUST081,PROD039,3,2178.36,2025-04-24 01:22:00,COMPLETED
ORD058,CUST010,PROD040,4,3147.08,2025-06-01 01:03:00,COMPLETED
ORD059,CUST037,PROD010,1,240.46,2025-04-16 19:32:00,COMPLETED
ORD060,CUST060,PROD075,5,3986.95,2025-04-27 23:57:00,COMPLETED
ORD061,CUST058,PROD074,2,951.96,2025-11-04 19:30:00,COMPLETED
ORD062,CUST020,PROD008,4,352.04,2025-08-18 10:45:00,COMPLETED
ORD063,CUST065,PROD083,2,1898.78,2025-08-07 07:45:00,COMPLETED
ORD064,CUST057,PROD068,5,1877.6,2025-03-21 05:23:00,COMPLETED
ORD065,CUST037,PROD050,4,1214.96,2025-05-07 10:43:00,COMPLETED
ORD066,CUST007,PROD081,3,161.82,2025-05-29 10:06:00,COMPLETED
ORD067,CUST087,PROD050,3,911.22,2025-12-21 23:54:00,PENDING
ORD068,CUST078,PROD020,3,1495.74,2025-12-27 18:42:00,COMPLETED
ORD069,CUST045,PROD040,4,3147.08,2026-01-12 19:45:00,COMPLETED
ORD070,CUST040,PROD072,4,138.16,2026-01-24 10:52:00,COMPLETED
ORD071,CUST086,PROD090,5,469.75,2025-12-04 20:42:00,COMPLETED
ORD072,CUST066,PROD047,1,412.35,2025-12-14 09:11:00,COMPLETED
ORD073,CUST044,PROD099,4,3592.96,2026-01-13 07:08:00,COMPLETED
ORD074,CUST010,PROD038,1,519.01,2025-06-08 17:53:00,PENDING
ORD075,CUST068,PROD005,3,1285.17,2026-04-16 19:08:00,COMPLETED
ORD076,CUST049,PROD020,2,997.16,2026-01-12 22:49:00,COMPLETED
ORD077,CUST022,PROD093,4,1681.2,2025-09-02 13:23:00,PENDING
ORD078,CUST093,PROD031,4,314.08,2025-11-08 09:48:00,PENDING
ORD079,CUST058,PROD030,5,4396.15,2025-10-24 09:51:00,FAILED
ORD080,CUST061,PROD025,3,39.63,2025-04-05 18:28:00,COMPLETED
ORD081,CUST099,PROD037,4,2539.16,2026-01-16 16:26:00,COMPLETED
ORD082,CUST026,PROD078,2,1756.54,2025-07-29 08:03:00,PENDING
ORD083,CUST062,PROD048,5,1925.9,2026-03-28 03:45:00,FAILED
ORD084,CUST067,PROD016,3,2742.0,2025-07-07 05:17:00,COMPLETED
ORD085,CUST066,PROD019,4,3595.36,2025-11-09 07:52:00,COMPLETED
ORD086,CUST045,PROD004,4,912.96,2026-01-02 12:32:00,COMPLETED
ORD087,CUST031,PROD050,1,303.74,2025-07-29 07:01:00,COMPLETED
ORD088,CUST013,PROD092,3,102.54,2026-03-12 04:08:00,COMPLETED
ORD089,CUST037,PROD061,2,1314.88,2025-05-05 22:30:00,COMPLETED
ORD090,CUST079,PROD001,1,282.28,2025-12-19 08:13:00,FAILED
ORD091,CUST020,PROD071,5,3759.9,2025-10-11 13:07:00,FAILED
ORD092,CUST037,PROD031,3,235.56,2025-02-12 01:15:00,COMPLETED
