order_id,customer_id,product_id,quantity,price,order_date,payment_status
ORD001,CUST007,PROD002,4,295.62,2025-02-01 12:00:00,COMPLETED
ORD002,CUST011,PROD001,3,206.64,2025-02-02 12:00:00,COMPLETED
ORD003,CUST017,PROD010,3,118.98,2025-02-03 12:00:00,COMPLETED
ORD004,CUST011,PROD005,5,94.03,2025-02-04 12:00:00,COMPLETED
ORD005,CUST018,PROD008,4,66.86,2025-02-05 12:00:00,COMPLETED
ORD006,CUST002,PROD006,5,141.12,2025-02-06 12:00:00,COMPLETED
ORD007,CUST017,PROD009,5,91.0,2025-02-07 12:00:00,COMPLETED
ORD008,CUST015,PROD001,2,56.29,2025-02-08 12:00:00,COMPLETED
ORD009,CUST001,PROD006,5,445.39,2025-02-09 12:00:00,COMPLETED
ORD010,CUST010,PROD009,4,347.19,2025-02-10 12:00:00,COMPLETED
ORD011,CUST002,PROD006,999999,361.3,2025-02-11 12:00:00,COMPLETED
ORD012,CUST007,PROD008,1,66.31,2025-02-12 12:00:00,COMPLETED
ORD013,CUST002,PROD008,2,394.69,2025-02-13 12:00:00,COMPLETED
ORD014,CUST015,PROD008,4,248.1,2025-02-14 12:00:00,COMPLETED
ORD015,CUST009,PROD008,1,133.02,2025-02-15 12:00:00,COMPLETED
ORD016,CUST013,PROD004,1,274.76,2025-02-16 12:00:00,COMPLETED
ORD017,CUST007,PROD002,5,24.77,2025-02-17 12:00:00,COMPLETED
ORD018,CUST007,PROD001,5,205.65,2025-02-18 12:00:00,COMPLETED
ORD019,CUST016,PROD009,1,136.98,2025-02-19 12:00:00,COMPLETED
ORD020,CUST012,PROD010,3,49.14,2025-02-20 12:00:00,COMPLETED
ORD021,CUST002,PROD006,2,246.02,2025-02-21 12:00:00,COMPLETED
ORD022,CUST001,PROD010,4,146.28,2025-02-22 12:00:00,COMPLETED
ORD023,CUST015,PROD001,4,-500.0,2025-02-23 12:00:00,COMPLETED
ORD024,CUST003,PROD005,2,302.85,2025-02-24 12:00:00,COMPLETED
ORD025,CUST020,PROD008,5,457.86,2025-02-25 12:00:00,COMPLETED
ORD026,CUST008,PROD001,5,323.59,2025-02-26 12:00:00,COMPLETED
ORD027,CUST004,PROD010,3,413.54,2025-02-27 12:00:00,COMPLETED
ORD028,CUST020,PROD001,4,100.63,2025-02-28 12:00:00,COMPLETED
ORD029,CUST010,PROD004,5,28.7,2025-02-29 12:00:00,COMPLETED
ORD030,CUST013,PROD006,1,98.13,2025-02-30 12:00:00,COMPLETED
ORD031,CUST012,PROD005,5,454.04,2025-02-31 12:00:00,COMPLETED
ORD032,CUST016,PROD007,3,74.99,2025-02-32 12:00:00,COMPLETED
ORD033,CUST003,PROD004,3,469.06,2025-02-33 12:00:00,COMPLETED
ORD034,CUST014,PROD008,1,14.79,2025-02-34 12:00:00,COMPLETED
ORD035,CUST005,PROD009,2,431.79,2025-02-35 12:00:00,COMPLETED
ORD036,CUST002,PROD004,1,999999999.0,2025-02-36 12:00:00,COMPLETED
ORD037,CUST013,PROD009,4,375.6,2025-02-37 12:00:00,COMPLETED
ORD038,CUST018,PROD005,4,72.26,2025-02-38 12:00:00,COMPLETED
ORD039,CUST013,PROD007,5,56.67,2025-02-39 12:00:00,COMPLETED
ORD040,CUST001,PROD004,3,211.58,2025-02-40 12:00:00,COMPLETED
ORD041,CUST006,PROD002,3,197.72,2025-02-41 12:00:00,COMPLETED
ORD042,CUST007,PROD004,3,89.82,2025-02-42 12:00:00,COMPLETED
ORD043,CUST007,PROD006,3,93.56,2025-02-43 12:00:00,COMPLETED
ORD044,CUST014,PROD008,1,230.23,2025-02-44 12:00:00,COMPLETED
ORD045,CUST013,PROD007,2,105.28,2025-02-45 12:00:00,COMPLETED
ORD046,CUST003,PROD006,2,374.5,2025-02-46 12:00:00,COMPLETED
ORD047,CUST016,PROD008,2,295.04,2025-02-47 12:00:00,COMPLETED
ORD048,CUST018,PROD009,5,137.97,2025-02-48 12:00:00,COMPLETED
ORD049,CUST020,PROD001,2,373.35,2025-02-49 12:00:00,COMPLETED
ORD050,CUST017,PROD010,5,335.11,2025-02-50 12:00:00,COMPLETED
